timestamp,cpm,minute
2026-03-22_15-21-05,16,188
2026-03-22_15-22-07,18,189
2026-03-22_15-23-09,24,190
2026-03-22_15-24-10,29,191
2026-03-22_15-25-12,22,192
2026-03-22_15-26-14,25,193
2026-03-22_15-27-16,19,194
2026-03-22_15-28-18,21,195
2026-03-22_15-29-20,27,196
2026-03-22_15-30-22,25,197
2026-03-22_15-31-24,19,198
2026-03-22_15-32-26,18,199
2026-03-22_15-33-28,25,200
2026-03-22_15-34-30,20,201
2026-03-22_15-35-32,19,202
2026-03-22_15-36-34,25,203
2026-03-22_15-37-36,15,204
2026-03-22_15-38-38,25,205
2026-03-22_15-39-40,25,206
2026-03-22_15-40-42,21,207
2026-03-22_15-41-43,15,208
2026-03-22_15-42-45,18,209
2026-03-22_15-43-47,21,210
2026-03-22_15-44-49,24,211
2026-03-22_15-45-51,20,212
2026-03-22_15-46-53,18,213
2026-03-22_15-47-55,21,214
2026-03-22_15-48-57,22,215
2026-03-22_15-49-59,20,216
2026-03-22_15-51-01,21,217
2026-03-22_15-52-03,23,218
2026-03-22_15-53-05,28,219
2026-03-22_15-54-07,18,220
2026-03-22_15-55-09,20,221
2026-03-22_15-56-10,24,222
2026-03-22_15-57-13,28,223
2026-03-22_15-58-14,14,224
2026-03-22_15-59-16,24,225
2026-03-22_16-00-19,28,226
2026-03-22_16-01-21,24,227
2026-03-22_18-00-23,26,228
2026-03-22_18-01-25,21,229
2026-03-22_18-02-27,28,230
2026-03-22_18-03-28,19,231
2026-03-22_18-04-31,30,232
2026-03-22_18-05-33,20,233
2026-03-22_18-06-35,18,234
2026-03-22_18-07-38,22,235
2026-03-22_18-08-40,19,236
2026-03-22_18-09-42,23,237
2026-03-22_18-10-43,28,238
2026-03-22_18-11-45,21,239
2026-03-22_18-12-47,20,240
2026-03-22_18-13-49,21,241
2026-03-22_18-14-51,26,242
2026-03-22_18-15-53,20,243
2026-03-22_18-16-55,16,244
2026-03-22_18-17-57,20,245
2026-03-22_18-19-00,25,246
2026-03-22_18-20-01,15,247
2026-03-22_18-21-03,22,248
2026-03-22_18-22-05,22,249
2026-03-22_18-23-07,17,250
2026-03-22_18-24-09,23,251
2026-03-22_18-25-11,21,252
2026-03-22_18-26-13,22,253
2026-03-22_18-27-15,19,254
2026-03-22_18-28-17,28,255
2026-03-22_18-29-19,18,256
2026-03-22_18-30-21,28,257
2026-03-22_18-31-23,21,258
2026-03-22_18-32-25,24,259
2026-03-22_18-33-27,27,260
2026-03-22_18-34-28,24,261
2026-03-22_18-35-30,20,262
2026-03-22_18-36-32,29,263
2026-03-22_18-37-34,27,264
2026-03-22_18-38-37,23,265
2026-03-22_18-39-39,24,266
2026-03-22_18-40-41,19,267
2026-03-22_18-41-42,24,268
2026-03-22_18-42-44,17,269
2026-03-22_18-43-46,19,270
2026-03-22_18-44-48,18,271
2026-03-22_18-45-50,20,272
2026-03-22_18-46-52,20,273
2026-03-22_18-47-54,17,274
2026-03-22_18-48-56,14,275
2026-03-22_18-49-58,21,276
2026-03-22_18-51-01,24,277
2026-03-22_18-52-02,17,278
2026-03-22_18-53-04,26,279
2026-03-22_18-54-06,18,280
2026-03-22_18-55-08,23,281
2026-03-22_18-56-10,19,282
2026-03-22_18-57-12,19,283
2026-03-22_18-58-14,20,284
2026-03-22_18-59-16,17,285
2026-03-22_19-00-18,25,286
2026-03-22_19-01-20,16,287
2026-03-22_19-02-22,18,288
2026-03-22_19-03-24,22,289
2026-03-22_19-04-26,23,290
2026-03-22_19-05-28,28,291
2026-03-22_19-06-30,15,292
2026-03-22_19-07-32,19,293
2026-03-22_19-08-34,24,294
2026-03-22_19-09-36,17,295
2026-03-22_19-10-38,24,296
2026-03-22_19-11-40,22,297
2026-03-22_19-12-42,22,298
2026-03-22_19-13-44,15,299
2026-03-22_19-14-46,15,300
2026-03-22_19-15-48,19,301
2026-03-22_19-16-51,17,302
2026-03-22_19-17-53,23,303
2026-03-22_19-18-55,27,304
2026-03-22_19-19-57,20,305
2026-03-22_19-20-59,19,306
2026-03-22_19-22-01,22,307
2026-03-22_19-23-03,15,308
2026-03-22_19-24-05,29,309
2026-03-22_19-25-07,16,310
2026-03-22_19-26-09,21,311
2026-03-22_19-27-11,19,312
2026-03-22_19-28-16,22,313
2026-03-22_19-29-17,26,314
2026-03-22_19-30-21,22,315
2026-03-22_19-31-22,24,316
2026-03-22_19-32-24,24,317
2026-03-22_19-33-27,19,318
2026-03-22_19-34-29,19,319
2026-03-22_19-35-31,27,320
2026-03-22_19-36-33,19,321
2026-03-22_19-37-35,30,322
2026-03-22_19-38-37,14,323
2026-03-22_19-39-39,19,324
2026-03-22_19-40-41,16,325
2026-03-22_19-41-42,21,326
2026-03-22_19-42-44,17,327
2026-03-22_19-43-46,21,328
2026-03-22_19-44-48,17,329
2026-03-22_19-45-50,27,330
2026-03-22_19-46-52,15,331
2026-03-22_19-47-54,25,332
2026-03-22_19-48-56,21,333
2026-03-22_19-49-58,26,334
2026-03-22_19-51-00,20,335
2026-03-22_19-52-02,30,336
2026-03-22_19-53-04,26,337
2026-03-22_19-54-08,13,338
2026-03-22_19-55-10,22,339
2026-03-22_19-56-12,20,340
2026-03-22_19-57-14,20,341
2026-03-22_19-58-16,20,342
2026-03-22_19-59-18,20,343
