delta_t_ms
1101
3693
1871
5773
5526
8469
12280
113
537
535
4163
2401
2658
4006
472
368
341
3862
1870
3716
226
701
818
1036
2363
2491
2230
3006
455
221
2604
6889
493
5673
3162
1558
406
5326
155
3939
583
4097
665
8547
9442
2424
4734
1940
5
1843
1498
1271
2887
4575
2456
6347
10036
2450
53
187
9068
6318
4589
5446
4207
6582
16012
1655
4167
1954
2534
550
1309
1935
489
799
2394
35
1105
823
1145
188
6623
234
1079
1
121
10932
1313
250
1254
4561
3747
12675
169
1233
1678
123
981
5036
581
3383
1384
868
1075
404
910
5168
5117
5933
4198
7320
9401
1267
1192
537
7952
1197
2223
2608
20
2179
802
567
2298
2266
2230
5549
5871
478
167
854
1313
4156
330
329
2129
100
3299
981
708
8078
3147
1755
380
7205
6155
4881
358
4641
8027
2058
6279
7219
7980
2525
575
501
664
1356
2738
4565
5669
521
602
3638
3020
129
5083
6341
712
3032
1048
837
126
124
375
1349
734
4235
6
1171
2591
1198
1011
1012
2292
588
762
995
7071
6230
378
256
1730
3911
925
1057
2958
4078
2923
2067
3034
2979
3274
831
2040
12131
2452
846
114
2314
30
1655
5428
1044
5344
11688
712
5020
1830
1828
9050
11
890
4239
4393
3380
7173
60
8107
971
1344
38
7551
3790
2082
4424
2068
1895
2793
2583
1547
357
509
1627
2922
8771
620
124
1796
595
799
12366
1283
1053
1114
684
979
476
1217
7183
3621
1596
1879
5944
3161
268
5451
4631
14953
6598
1972
1626
1612
961
1586
1480
6076
6882
3908
235
35
6183
3738
56
200
2250
559
416
78
668
2370
2553
3602
26
3447
6125
1796
7626
1637
930
305
6848
4993
3889
4994
508
9685
14385
1488
81
984
2478
2284
1523
1039
3922
7151
11658
10894
618
316
3029
1850
8724
1473
5284
545
7936
758
855
4416
120
1437
6475
1709
813
1865
1279
270
1182
5739
1599
3841
443
4178
622
3797
698
1638
2459
1606
437
2629
2360
2668
4030
1290
14488
880
809
1428
1760
8512
761
2090
2339
1625
6503
3517
1110
1234
1727
869
1117
1022
2057
5807
710
1282
4292
6082
5522
1447
2236
2465
90
2038
1285
250
6535
573
797
1575
1363
150
6571
2862
3301
1830
439
95
2453
2908
923
2016
1712
1105
3032
280
4481
2888
941
6216
6179
5009
974
1230
3077
208
3072
5287
1176
818
7140
270
5620
370
1704
2255
3955
666
775
4645
4280
5397
2043
7277
1374
2560
1
2243
449
895
2090
6149
471
4486
2537
8360
466
4159
41
124
1687
1566
3141
2772
2038
2262
1041
1239
986
3913
143
4422
335
2164
560
1135
17980
904
338
535
602
290
3812
802
945
5375
2469
2120
6447
3800
1356
3620
6005
469
1255
1308
1278
5941
5504
1039
1499
1385
2567
8604
953
2061
1114
2704
7431
4163
2466
21
590
3555
9869
5068
8503
404
989
2319
3557
179
695
2999
1745
7320
7961
238
1779
4231
2499
10844
1847
2245
673
2433
3397
6418
1877
4566
2608
5428
6313
1943
4119
6052
6786
1047
167
5800
787
5205
85
3492
3389
1446
3106
9075
190
438
5383
4511
1999
664
2458
2375
4454
1471
5354
496
1864
1889
77
7284
1592
279
1522
2926
1036
733
323
1963
3107
5436
2193
813
3454
211
606
870
4399
2178
